x,y,z,id,group1,group2
0.94,4.884,775.14381270903,775.14381270903,82669010420937,15235292178195
0.94,4.884,778.73244147157,778.73244147157,82461283503025,15197009601474
0.94,4.884,782.32107023411,782.32107023411,82249669567298,15158010680774
0.94,4.884,785.90969899666,785.90969899666,82038055631572,15119011760074
0.94,4.884,789.4983277592,789.4983277592,81822995240555,15079377692882
0.94,4.884,793.08695652174,793.08695652174,81607297186607,15039626110928
0.94,4.884,796.67558528428,796.67558528428,81389024317055,14999400028070
0.94,4.884,800.26421404682,800.26421404682,81169265744084,14958900151775
0.94,4.884,803.85284280936,803.85284280936,80947794276147,14918084634373
0.94,4.884,807.44147157191,807.44147157191,80723999210307,14876840939512
0.94,4.884,811.03010033445,811.03010033445,80499343172431,14835438618246
0.94,4.884,814.61872909699,814.61872909699,80271536020277,14793455732330
0.94,4.884,818.20735785953,818.20735785953,80043709581346,14751469294698
0.94,4.884,821.79598662207,821.79598662207,79811915008909,14708752113649
0.94,4.884,825.38461538462,825.38461538462,79580120436471,14666034932601
0.94,4.884,828.97324414716,828.97324414716,79345175110332,14622738286205
0.94,4.884,832.5618729097,832.5618729097,79109417720563,14579292290548
0.94,4.884,836.15050167224,836.15050167224,78871354664262,14535423754774
0.94,4.884,839.73913043478,839.73913043478,78631658129220,14491255865087
0.94,4.884,843.32775919732,843.32775919732,78390489855129,14446820866770
0.94,4.884,846.91638795987,846.91638795987,78146874574742,14401941756773
0.94,4.884,850.50501672241,850.50501672241,77902611333706,14356948150938
0.94,4.884,854.09364548495,854.09364548495,77655088112362,14311378500589
0.94,4.884,857.68227424749,857.68227424749,77407564891018,14265808850240
0.94,4.884,861.27090301003,861.27090301003,77156290308442,14219624507251
0.94,4.884,864.85953177258,864.85953177258,76904843267981,14173411905563
0.94,4.884,868.44816053512,868.44816053512,76650401690515,14126809169539
0.94,4.884,872.03678929766,872.03678929766,76394942089385,14080073803333
0.94,4.884,875.6254180602,875.6254180602,76137175939893,14033227651853
0.94,4.884,879.21404682274,879.21404682274,75877417352498,13986285802062
0.94,4.884,882.80267558528,882.80267558528,75615985518994,13939552990292
0.94,4.884,886.39130434783,886.39130434783,75351106453962,13893250839889
0.94,4.884,889.97993311037,889.97993311037,75085362749434,13847290154028
0.94,4.884,893.56856187291,893.56856187291,74813094721531,13803906062347
0.94,4.884,897.15719063545,897.15719063545,74540826693628,13760521970667
0.94,4.884,900.74581939799,900.74581939799,74256247734789,13725364384166
0.94,4.884,904.33444816054,904.33444816054,73970410354459,13691047709776
0.94,4.884,907.92307692308,907.92307692308,73663421757241,13674642787209
0.94,4.884,911.51170568562,911.51170568562,73347260152918,13666005957967
0.94,4.884,915.10033444816,915.10033444816,72994194652262,13691790985766
0.94,4.884,918.6889632107,918.6889632107,72602370717251,13753727678268
0.94,4.884,922.27759197324,922.27759197324,72155432862190,13869012980776
0.94,4.884,925.86622073579,925.86622073579,71565348111119,14122860155164
0.94,4.884,929.45484949833,929.45484949833,70939122823027,14412177768395
0.94,4.884,933.04347826087,933.04347826087,69819345458617,15185896283827
0.94,4.884,936.63210702341,936.63210702341,68699568094207,15959614799258
0.94,4.884,940.22073578595,940.22073578595,66355957408527,17940628170630
0.94,4.884,943.80936454849,943.80936454849,63810584419431,20120677298589
0.94,4.884,947.39799331104,947.39799331104,58769447573498,24767392948164
0.94,4.884,950.98662207358,950.98662207358,52376825574408,30749837205484
0.94,4.884,954.57525083612,954.57525083612,44154731162103,37839719910788
0.94,4.884,958.16387959866,958.16387959866,33594330183438,46345054730080
0.94,4.884,961.7525083612,961.7525083612,26125794923397,51190629381307
0.94,4.884,965.34113712375,965.34113712375,19831360281961,54656968894285
0.94,4.884,968.92976588629,968.92976588629,15773031547320,55576605372725
0.94,4.884,972.51839464883,972.51839464883,12356203663381,55808090677759
0.94,4.884,976.10702341137,976.10702341137,9814021212448.8,55101325814646
0.94,4.884,979.69565217391,979.69565217391,7971607021850.8,53712035685200
0.94,4.884,983.28428093645,983.28428093645,6406438247841.1,52058798692833
0.94,4.884,986.872909699,986.872909699,5369399967155.6,49965613630118
0.94,4.884,990.46153846154,990.46153846154,4476609939710.8,47782024230744
0.94,4.884,994.05016722408,994.05016722408,3793755585174.3,45466862387170
0.94,4.884,997.63879598662,997.63879598662,3272401839617.1,43098224281958
0.94,4.884,1001.2274247492,1001.2274247492,2817862312181.2,40711083506019
0.94,4.884,1004.8160535117,1004.8160535117,2491640394031.6,38334969240873
0.94,4.884,1008.4046822742,1008.4046822742,2199139015191,35981185580130
0.94,4.884,1011.9933110368,1011.9933110368,1959065046276,33662120692422
0.94,4.884,1015.5819397993,1015.5819397993,1758386597953.2,31399664880301
0.94,4.884,1019.1705685619,1019.1705685619,1574745354315.2,29163375585952
0.94,4.884,1022.7591973244,1022.7591973244,1424710558542.7,27009143764116
0.94,4.884,1026.347826087,1026.347826087,1283358293349.6,24886921351733
0.94,4.884,1029.9364548495,1029.9364548495,1156441004553.9,22817915575409
0.94,4.884,1033.525083612,1033.525083612,1040383797967.4,20804769452269
0.94,4.884,1037.1137123746,1037.1137123746,929233678611.57,18817392168064
0.94,4.884,1040.7023411371,1040.7023411371,828256802748.38,16898503225354
0.94,4.884,1044.2909698997,1044.2909698997,729897751556.62,15001376653996
0.94,4.884,1047.8795986622,1047.8795986622,636197885725.67,13142982593307
0.94,4.884,1051.4682274247,1051.4682274247,546007832771.04,11318567992678
0.94,4.884,1055.0568561873,1055.0568561873,457467947020.51,9510177426495.6
0.94,4.884,1058.6454849498,1058.6454849498,372466249036.79,7739042154928.1
0.94,4.884,1062.2341137124,1062.2341137124,288332654335.12,5976864157943.3
0.94,4.884,1065.8227424749,1065.8227424749,205855278361.28,4231775378590.6
0.94,4.884,1069.4113712375,1069.4113712375,124564567104.02,2496123800477.7
0.94,4.884,1073,1073,43853198399.099,765079566104.79
