x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12,group13,group14,group15,group16,group17,group18,group19,group20,group21,group22,group23,group24,group25,group26
1,3,710.54849498328,710.54849498328,52033608189.606,994155629606.11,11295646209605,12534816709105,10642969256298,10222156046637,4303933728246.8,4254385406466.6,5555234267611,4035780479652.1,3869488421557.9,3637776585134.1,3307705963768.1,2081750966202.6,1865732641662.4,2746954629076.9,2302183868047,2716634034233.9,2895019829432.8,3600486821674.7,3980845133267.1,2658630176152,1963387066954.3,1418952682843.2,225328008421.43,65068035299.346
1,3,714.13712374582,714.13712374582,51897204150.964,991549473734.89,11266034587708,12501956025073,10615067646887,10195357168292,4292650251784.7,4243231746222,5540670047726.3,4025199752043.2,3859343594739.5,3628239181559,3299033868718.2,2076293035619.1,1860841046051.8,2739752581096.9,2296147891939.5,2709511368366.1,2887429355065.4,3591046508065.6,3970407403605.8,2651659231206.5,1958239034150.7,1415232157103.3,224737192648.06,64897425448.276
1,3,717.72575250836,717.72575250836,51756480297.96,988860783657.21,11235485214227,12468054725086,10586282487990,10167709683631,4281009479857.3,4231724905294.4,5525644658858.3,4014283994603.8,3848877544088.3,3618399790795.8,3290087188099.7,2070662291240.9,1855794569502.2,2732322499869.2,2289920805107.6,2702163188241.5,2879598560078.4,3581307314865.7,3959639222892.4,2644467593500.4,1952928021041.9,1411393844590.5,224127672486.94,64721414322.099
1,3,721.3143812709,721.3143812709,51614172347.957,986141827883.4,11204591962665,12433771826153,10557173327185,10139751010894,4269237685939.7,4220088551287.5,5510450157074.6,4003245380091.1,3838293699090.6,3608449659857.4,3281039815613.7,2064968175201,1850691297356.7,2724808797737.1,2283623637040.8,2694732310938.8,2871679638347.8,3571458521061.7,3948749864166.2,2637195026682.4,1947557242260.1,1407512339093.4,223511293335.58,64543422521.991
1,3,724.90301003344,724.90301003344,51468799327.808,983364311011.97,11173033341683,12398750572223,10527437256211,10111190221825,4257212378266.1,4208201603176.9,5494928439812.3,3991969050291.2,3827481934699,3598285258642.8,3271797615289.1,2059151441893,1845478131932.1,2717133298342.2,2277190869537.4,2687141423811.3,2863590201269.4,3561397662556.4,3937626039902.6,2629765871373.6,1942070823815.4,1403547260175.2,222881642833.15,64361598347.269
1,3,728.49163879599,728.49163879599,51320618799.075,980533154002.96,11140865263078,12363053008162,10497126955089,10082077912990,4244954859904.7,4196085118689.1,5479107003384.9,3980474980708.1,3816461403256.7,3587924592543.1,3262376958745.5,2053222394994.5,1840164307694.1,2709309597704.6,2270633897182.5,2679403972678.5,2855344577454.9,3551142559403.6,3926287452525.2,2622193285894.7,1936478483049,1399505630611.7,222239836187.37,64176263837.017
1,3,732.08026755853,732.08026755853,51170615298.105,977667167372.87,11108301451535,12326916302767,10466443795386,10052607492075,4232546562846.9,4183819592022,5463090953872.5,3968839528773.7,3805305315653.7,3577436488193.9,3252840427462.6,2047220420933.6,1834785123953.2,2701389667479.9,2263996276534.2,2671571355118,2846997539072.3,3540761330173.2,3914809416199.2,2614527569061.6,1930817365347.7,1395414295583.9,221590136378.63,63988650014.077
1,3,735.66889632107,735.66889632107,51016595119.233,974724438285.33,11074865694872,12289812007600,10434939091180,10022348018617,4219806044899.6,4171225670650.8,5446646100200.6,3956892559552.2,3793850548003.1,3566667590538.9,3243048581537.2,2041057761528,1829261929203.6,2693257708104.1,2257180958052.1,2663529050937.1,2838427047119.8,3530102198834.1,3903024122582.9,2606656649623.2,1925004706778.6,1391213441148,220923045030.63,63796014027.483
1,3,739.25752508361,739.25752508361,50861980415.244,971770350231.2,11041300878073,12252564495618,10403312786966,9991971754473.7,4207016353679.2,4158583142346,5430137777635.5,3944899481514.2,3782351571635,3555857131660.1,3233218945588,2034871318521.2,1823717418884.1,2685094365567.5,2250339337913.2,2655455710348.6,2829823481097.2,3519401934364,3891193350914.8,2598755357556.6,1919169618214.4,1386996376435,220253379511.92,63602634696.252
1,3,742.84615384615,742.84615384615,50702155108.961,968716708675.25,11006604938274,12214061787113,10370620742615,9960571900594,4193795692660.5,4145514607818.5,5413073194030.2,3932502291526.3,3770465136372.9,3544682417342,3223058106163.6,2028476428666.1,1817986092307.4,2676655971287.8,2243267201907,2647110357071.1,2820930043679.5,3508341166391.5,3878963995513.8,2590587870367.9,1913137946224,1382637239832.3,219561153163.68,63402740462.359
1,3,746.4347826087,746.4347826087,50542329802.678,965663067119.31,10971908998476,12175559078607,10337928698264,9929172046714.2,4180575031641.7,4132446073290.9,5396008610424.8,3920105101538.3,3758578701110.9,3533507703023.9,3212897266739.1,2022081538811,1812254765730.7,2668217577008.1,2236195065900.9,2638765003793.6,2812036606261.7,3497280398418.9,3866734640112.7,2582420383179.1,1907106274233.6,1378278103229.5,218868926815.45,63202846228.467
1,3,750.02341137124,750.02341137124,50377354751.607,962511034814.01,10936095147141,12135815834614,10304183362306,9896760559769.6,4166928435131.2,4118956508976.2,5378394264028.1,3907308520580.4,3746309333534.7,3521972988918.4,3202409093490,2015480637588,1806338805706.1,2659507344921.3,2228895107689.8,2630150816589.2,2802856685179.7,3485863340490.1,3854111359814.9,2573989812344.7,1900880316645.2,1373778555398.7,218154403349.35,62996513243.869
