x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12,group13,group14,group15,group16,group17,group18,group19,group20,group21,group22,group23,group24,group25,group26
1,3,222.49498327759,222.49498327759,70383449657.54,1343681296606.3,15276221824360,16947018950908,14384717653896,13814287842345,5813522651440.6,5743940422473.5,7492850456193.1,5435348133977.6,5199871108296.9,4873540217351.1,4412194045478.2,2760130870610.4,2460850613607.5,3580612154996.1,2947042774112.9,3395344212022.2,3458399434162.8,3938938529016.8,4032341278052,2578967630355.8,1855963230163.3,1315216036383.8,206722743437.49,59998068419.46
1,3,226.08361204013,226.08361204013,70266805875.934,1341393006840.2,15249373506932,16915507868551,14356351953697,13785564183116,5801184985549.1,5731532796650.3,7476398740620.9,5423326694592.8,5188349073682.7,4862783690084.5,4402551960357.3,2754159836900.1,2455590195753.2,3573183775178.8,2941131915313.4,3388897780542.4,3452380234939.8,3932821503806.2,4026596870921.9,2575458963149.2,1853498834516.4,1313493351912.2,206453802364.35,59919501828.279
1,3,229.67224080268,229.67224080268,70148466287.342,1339089899184.3,15222560556352,16884575478388,14328894449419,13757942781095,5789336128013.6,5719613300685.5,7460541235723.4,5411691980028.7,5177135531454.1,4852241891511.4,4393024154492.5,2748221225505.4,2450324414939,3565650018531.1,2935059511442.1,3382155817012.8,3445942492449.4,3926129298201.6,4020226520186.9,2571547602185.6,1850747201701.8,1311569543494.7,206153445409.7,59831751812.743
1,3,233.26086956522,233.26086956522,70026684109.881,1336737909261,15195426264522,16853779101015,14302001401304,13731252264092,5777942437137.9,5708196213630.6,7445395555262,5400587002942.4,5166423380758.1,4842147001170.8,4383863980371.1,2742491240436.6,2445223554524.3,3558285569522.5,2929065539104.3,3375400665180.8,3439345655065.5,3919070953121.8,4013357431060.7,2567279266345.9,1847725265478.1,1309449158760,205821803845.93,59735028354.774
1,3,236.84949832776,236.84949832776,69901810927.613,1334342029309,15168003449321,16823104845744,14275615162680,13705397562860,5766957427747.8,5697230225563.7,7430889002165.9,5389957662405.4,5156161415575.5,4832453377303.6,4375033892567.9,2736948575143.9,2440270771549.9,3551073137134.6,2923141988259.5,3368633671939,3432605970801,3911683861589.6,4006040538603.2,2562690412692.4,1844460631340.6,1307152273617.1,205462072701.66,59630247892.396
1,3,240.4381270903,240.4381270903,69776059438.931,1331932990869.1,15140486726189,16792421428560,14249324989366,13679755566104,5756084534310.9,5686397489771.5,7416592009551.1,5379497173448.5,5146073635447.9,4822930959659.8,4366361905264.6,2731504821265.9,2435405105575.2,3543979400841,2917306653907.1,3361947230749.7,3425908953246.8,3904282549017,3998659981494.1,2558043654706.4,1841147478111.4,1304818103647.5,205096255963.57,59523765820.197
1,3,244.02675585284,244.02675585284,69648416868.525,1329495620885.8,15112767809873,16761718284861,14223241654292,13654571543400,5745453037755.7,5675851659479.3,7402746221652,5369400238863.3,5136360893198.1,4813777166170.6,4358030324180,2726274033575.5,2430727011230.5,3537141229132.5,2911661258502.7,3355434226201.4,3419303801395,3896850617119.6,3991142348010.6,2553272222890.5,1837729858416.1,1302403655710.2,204717336332.18,59413620011.543
1,3,247.61538461538,247.61538461538,69520782353.564,1327058669793.2,15085058155218,16731029843097,14197179179334,13629422508615,5734839449908.5,5665327103540.3,7388934980421,5359332106290.4,5126679156206.4,4804655421973,4349730098707.1,2721063759336.5,2426067818947.2,3530331467080.5,2906039369896.9,3348947185737.7,3412720895136.6,3889435245311.9,3983633917097.9,2548503738095,1834313116986.1,1299989277042.3,204338384578.64,59303477423.471
1,3,251.20401337793,251.20401337793,69393214793.937,1324625200440,15057425481743,16700463601050,14171290089725,13604564286815,5724374715859.7,5654979376007.7,7375410884571.6,5349503370604.8,5117255129063.7,4795800065434.4,4341690495156.4,2716023989031.4,2421565737027.7,3523757840729.9,2900612865360.4,3342675953841.9,3406322890049.6,3882157517842.8,3976201976216.2,2543759748376.9,1830903675530.4,1297575474128.4,203959165831.88,59193361604.274
1,3,254.79264214047,254.79264214047,69265647234.309,1322191731086.9,15029792808268,16669897359002,14145401000117,13579706065015,5713909981810.9,5644631648475.1,7361886788722.3,5339674634919.3,5107831101921.1,4786944708895.7,4333650891605.7,2710984218726.4,2417063655108.2,3517184214379.2,2895186360824,3336404721946.1,3399924884962.7,3874879790373.8,3968770035334.5,2539015758658.8,1827494234074.8,1295161671214.5,203579947085.12,59083245785.076
