x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12,group13,group14,group15,group16,group17,group18,group19,group20,group21
1,3,326.5652173913,326.5652173913,1022946524133.9,23338797153826,10411251546598,14216394190800,4161840854603.2,5434486974877.8,3947959472274.5,3785279651250.9,3558616329342.1,3235718389781.9,2036436506889.7,4512258826879.5,2252079405448.1,2657425193996.4,2830936977319.2,3517102123585.4,6490261482591.5,1922702478862.4,1389028153529.6,220521001851,63652203084.402
1,3,330.15384615385,330.15384615385,1026002067584.5,23408509350493,10442349372287,14258857317528,4174271870294,5450719193380.3,3959751559145.8,3796585798520.9,3569245430493.8,3245383010770.8,2042519034711.7,4525736200175.7,2258805977002.4,2665362435803.8,2839392424408.4,3527606940662.4,6509646378287.6,1928445129603.8,1393176843393.5,221179644231.53,63842316728.883
1,3,333.74247491639,333.74247491639,1029057611035.2,23478221547159,10473447197975,14301320444256,4186702885984.7,5466951411882.9,3971543646017.1,3807891945791,3579874531645.4,3255047631759.7,2048601562533.7,4539213573471.9,2265532548556.6,2673299677611.3,2847847871497.6,3538111757739.5,6529031273983.6,1934187780345.1,1397325533257.3,221838286612.07,64032430373.364
1,3,337.33110367893,337.33110367893,1032022117444.4,23545856697949,10503618467064,14342518371036,4198763515035.9,5482699983287.9,3982984380482.8,3818861218232.4,3590186929700,3264424285776.2,2054502854727.7,4552289369092.8,2272058690663.4,2681000413057.7,2856051365634.8,3548303545474.1,6547838511472.1,1939759301735.6,1401350592818.2,222477301510.1,64216878656.637
1,3,340.91973244147,340.91973244147,1034963872546.8,23612972768733,10533558177952,14383400108365,4210731579786.2,5498327685172.7,3994337307543.4,3829746301398,3600420179649.4,3273728973208,2060358853848.6,4565264805379,2278534742919,2688642042576.4,2864191893546.2,3558417103221.1,6566501384876.2,1945288055739.2,1405344755604.4,223111411252.27,64399911094.566
1,3,344.50836120401,344.50836120401,1037838010127.2,23678546112260,10562809685726,14423342108768,4222424536579.9,5513596153223.7,4005429263718.6,3840381166877.4,3610418194640,3282819769839.7,2066080238178.7,4577941966255.7,2284861924799.5,2696108006133.6,2872145283915.6,3568298161345.2,6584735211128,1950689706273.4,1409247094131.2,223730943029.47,64578735684.709
1,3,348.09698996656,348.09698996656,1040665217161,23743048712125,10591583539967,14462631876345,4233926552233.5,5528615291816.3,4016340090714.3,3850842366531.6,3620252942701.5,3291762113646.7,2071708191908.1,4590412106414.1,2291085781863.2,2703452047157.3,2879968789798.6,3578017851024.6,6602671253362.7,1956003139506.8,1413085701208.6,224340356839.58,64754639780.424
1,3,351.6856187291,351.6856187291,1043448554778.5,23806550407808,10619910895317,14501311951099,4245250080191.2,5543401362303.3,4027081601700.3,3861141226652.3,3629935071823.4,3300565686400.7,2077248808356.6,4602688727269.1,2297213052757,2710682117349.5,2887670882548.1,3587586697820.1,6620328936303.5,1961234110101.2,1416864734272.8,224940312719.39,64927813896.727
1,3,355.27424749164,355.27424749164,1046160479965.3,23868422790721,10647511421506,14538999542937,4256283058575.7,5557808034993.4,4037547493159.3,3871175823839.3,3639368761591.9,3309143361957.5,2082647253606,4614650329485.2,2303183096732.2,2717726661159.4,2895175334031.9,3596909996398.3,6637533494598.1,1966330844638.4,1420546790321.5,225524872593.34,65096544040.862
1,3,358.86287625418,358.86287625418,1048852596149.1,23929843220540,10674910333458,14576411831025,4267235441714.2,5572109466878.4,4047936930745.9,3881137117323.3,3648733536922.9,3317658376008.5,2088006262051.1,4626524548790.5,2309109527578.9,2724719741865.8,2902624961936.6,3606165182669.9,6654612361440.7,1971390343698.1,1424201946115.1,226105161801.87,65264041480.783
