x,y,z,id,group1,group2,group3,group4,group5,group6
1,3,168.66555183946,168.66555183946,29745099235947,39278615131945,17090183116012,5044843043408.5,23200482830257,392846874421.08
1,3,172.25418060201,172.25418060201,30288750534297,41372586522448,17823675633510,5112577827318.2,20463151281532,342556418667.74
1,3,175.84280936455,175.84280936455,30832401832646,43466557912950,18557168151008,5180312611227.9,17725819732807,292265962914.39
1,3,179.43143812709,179.43143812709,30752757216932,44468083366531,19053608813739,5261337703317.7,16832884774559,274935839392.55
1,3,183.02006688963,183.02006688963,30670112450451,45464350479021,19548908459357,5342426766512.3,15948827570394,257764365981.84
1,3,186.60869565217,186.60869565217,30559342580712,46020604535560,19875594304084,5408499809602.4,15574710508030,250248184166.73
1,3,190.19732441472,190.19732441472,30440890275230,46456668027889,20156222906670,5470471192743.5,15339884751973,245369367149.77
1,3,193.78595317726,193.78595317726,30360670003638,46755264936815,20360987557515,5519366313631.7,15223878793934,242812073931.96
1,3,197.3745819398,197.3745819398,30308628001147,46952544442888,20509837975456,5558623798247,15195446943326,241965820271.38
1,3,200.96321070234,200.96321070234,30276096078874,47117570840875,20634091544552,5592224698691.1,15186831759030,241535072976.53
1,3,204.55183946488,204.55183946488,30277369538179,47226711839433,20715725818825,5616024358740.6,15212553182214,241824279217.73
1,3,208.14046822742,208.14046822742,30283058634876,47331473702046,20792622955677,5638512045078.2,15239528763188,242147688407.32
1,3,211.72909698997,211.72909698997,30312605032009,47412575478333,20843925755712,5653911252848.9,15273280448393,242655893118.59
1,3,215.31772575251,215.31772575251,30342151429143,47493677254619,20895228555747,5669310460619.6,15307032133599,243164097829.86
1,3,218.90635451505,218.90635451505,30382944494507,47567589008528,20934660110143,5680905081729.2,15338125161011,243654476277.94
1,3,222.49498327759,222.49498327759,30424374255676,47641093721260,20973419610189,5692284317774.1,15369067676625,244143845546.53
1,3,226.08361204013,226.08361204013,30468523613626,47713063560068,21008496079988,5702334923534.3,15397298443287,244593797702.36
1,3,229.67224080268,229.67224080268,30513645150700,47784484724750,21042255970381,5711910581451.2,15424559836203,245029659352.42
1,3,233.26086956522,233.26086956522,30558875342133,47855222283091,21074871306763,5721049418782.4,15450438956261,245443376087.03
1,3,236.84949832776,236.84949832776,30604203091292,47925346050311,21106458979929,5729796047057.7,15475076971962,245837209517.92
1,3,240.4381270903,240.4381270903,30649187514872,47994955988210,21137646714829,5738399648235.7,15499177276714,246222166611.54
1,3,244.02675585284,244.02675585284,30693432724078,48063459600093,21167973342568,5746695297741,15522119835914,246588012061.57
1,3,247.61538461538,247.61538461538,30737518370602,48131748427393,21198188924432,5754956164535.1,15544936629114,246951780878.3
1,3,251.20401337793,251.20401337793,30780277762249,48198252005806,21227481513963,5762927924002.6,15566708079070,247298289111.14
1,3,254.79264214047,254.79264214047,30823037153897,48264755584220,21256774103494,5770899683470.1,15588479529026,247644797343.97
1,3,258.38127090301,258.38127090301,30864377654553,48329249528995,21285157884997,5778611334840.6,15609417797354,247977728146.85
1,3,261.96989966555,261.96989966555,30905556343064,48393514292576,21313438024869,5786293323150.5,15630261048583,248309110562.23
1,3,265.55852842809,265.55852842809,30945642792738,48456155338890,21341006544714,5793779218879,15650532363652,248631291967.6
1,3,269.14715719064,269.14715719064,30985233636581,48518059619837,21368252165370,5801176137157,15670544161401,248949298393.96
1,3,272.73578595318,272.73578595318,31024069401042,48578808653863,21394992909816,5808435632826.1,15690173942908,249261205298.09
1,3,276.32441471572,276.32441471572,31062080968881,48638296693832,21421182563505,5815545126716.2,15709386739784,249566454351.73
1,3,279.91304347826,279.91304347826,31099670349115,48697129638347,21447085143649,5822576718741.7,15728387219918,249868324794.65
1,3,283.5016722408,283.5016722408,31136108701811,48754176569023,21472205063309,5829395923689.8,15746808852133,250160983991.33
1,3,287.09030100334,287.09030100334,31172454956081,48811079733340,21497261825647,5836197995232.9,15765184108651,250452906125.54
1,3,290.67892976589,290.67892976589,31207321718265,48865673399032,21521304012998,5842724831483.4,15782814374418,250732987904.54
1,3,294.26755852843,294.26755852843,31242188480448,48920267064723,21545346200350,5849251667733.9,15800444640185,251013069683.53
1,3,297.85618729097,297.85618729097,31275720134136,48972771940215,21568469454282,5855529150654.8,15817401286428,251282449498.52
1,3,301.44481605351,301.44481605351,31309014042029,49024904860104,21591429071659,5861762230663.5,15834237979717,251549923590.54
1,3,305.03344481605,305.03344481605,31341301062180,49075461370009,21613694698189,5867806949761.6,15850565999690,251809316929.92
1,3,308.6220735786,308.6220735786,31373019459608,49125127629191,21635568405193,5873745295239.6,15866606755061,252064146801.69
1,3,312.21070234114,312.21070234114,31404060085136,49173732567430,21656974750648,5879556772740.4,15882304881164,252313533688.03
1,3,315.79933110368,315.79933110368,31434199805315,49220926780739,21677759871590,5885199615278.2,15897547578913,252555685670.27
1,3,319.38795986622,319.38795986622,31463992178797,49267577077401,21698305450163,5890777428231.2,15912614635360,252795047389.43
1,3,322.97658862876,322.97658862876,31492549967710,49312294115144,21717999616264,5896124104621.4,15927057404770,253024491594.57
1,3,326.5652173913,326.5652173913,31521092201113,49356986794662,21737683054610,5901467868620.4,15941492307452,253253810826.46
1,3,330.15384615385,330.15384615385,31548064893923,49399221745405,21756284069701,5906517774281.2,15955133462462,253470520340.03
1,3,333.74247491639,333.74247491639,31575037586733,49441456696147,21774885084791,5911567679942.1,15968774617472,253687229853.6
1,3,337.33110367893,337.33110367893,31600739704816,49481702097422,21792609864663,5916379701159.8,15981773195430,253893731135.24
1,3,340.91973244147,340.91973244147,31626124290221,49521450285147,21810115662283,5921132272049.6,15994611185265,254097681250.74
1,3,344.50836120401,344.50836120401,31650569743425,49559727931217,21826973805603,5925709014170.6,16006974216738,254294085971.84
1,3,348.09698996656,348.09698996656,31674363383518,49596984934685,21843382438657,5930163720760.3,16019007599109,254485253744.41
1,3,351.6856187291,351.6856187291,31697550592205,49633292360627,21859372860321,5934504888934.6,16030734283521,254671549175.41
1,3,355.27424749164,355.27424749164,31719750627042,49668054025427,21874682500376,5938661234631.4,16041961712448,254849913209.46
1,3,358.86287625418,358.86287625418,31741678077605,49702388866290,21889804159487,5942766546188.7,16053051284113,255026087180.35
1,3,362.45150501672,362.45150501672,31762282025529,49734651310985,21904013098027,5946624067156.4,16063471505162,255191627543
1,3,366.04013377926,366.04013377926,31782885973452,49766913755679,21918222036566,5950481588124,16073891726212,255357167905.64
1,3,369.62876254181,369.62876254181,31801953827759,49796770921905,21931371647673,5954051516868.1,16083535081110,255510366618.14
1,3,373.21739130435,373.21739130435,31820959385051,49826530540907,21944478297247,5957609782171.5,16093146929827,255663064809.1
1,3,376.80602006689,376.80602006689,31838762526292,49854407367858,21956755731879,5960942927515.8,16102150667230,255806102266.11
1,3,380.39464882943,380.39464882943,31856167567001,49881660832774,21968758626837,5964201539277.9,16110953068800,255945941210.16
1,3,383.98327759197,383.98327759197,31872704857332,49907555538833,21980163100398,5967297688225,16119316613364,256078808271.51
1,3,387.57190635452,387.57190635452,31888507433227,49932299799129,21991060897326,5970256281743.1,16127308582661,256205772318.6
1,3,391.16053511706,391.16053511706,31903777800706,49956210705828,22001591670624,5973115233619.1,16135031392331,256328460373.01
1,3,394.7491638796,394.7491638796,31917976141329,49978442989244,22011383148607,5975773477439.5,16142212034044,256442535299.84
1,3,398.33779264214,398.33779264214,31931978579936,50000368521313,22021039527885,5978395043903,16149293600075,256555036265.21
1,3,401.92642140468,401.92642140468,31944571092727,50020086334166,22029723588677,5980752639871.1,16155662108823,256656209277.23
1,3,405.51505016722,405.51505016722,31957163605518,50039804147020,22038407649469,5983110235839.1,16162030617571,256757382289.24
1,3,409.10367892977,409.10367892977,31968289932821,50057226147068,22046080593818,5985193328226.2,16167657616271,256846775334.34
1,3,412.69230769231,412.69230769231,31979275203264,50074427274552,22053656261995,5987250011530.9,16173213276739,256935035067.74
1,3,416.28093645485,416.28093645485,31989130551225,50089859123590,22060452708759,5989095147423.5,16178197489183,257014216517.14
1,3,419.86956521739,419.86956521739,31998507343077,50104541630064,22066919131848,5990850686633,16182939676225,257089553040.6
1,3,423.45819397993,423.45819397993,32007091082025,50117982342160,22072838646811,5992457748149.2,16187280783994,257158517835.81
1,3,427.04682274247,427.04682274247,32014858337541,50130144571404,22078195095396,5993911945239.7,16191208962715,257220922651.8
1,3,430.63545150502,430.63545150502,32022169904013,50141593264273,22083237289989,5995280826890.2,16194906680866,257279666266.08
1,3,434.22408026756,434.22408026756,32028326744063,50151233839703,22087483157804,5996433517271.5,16198020406680,257329132311.75
1,3,437.8127090301,437.8127090301,32034365640818,50160689734740,22091647689122,5997564125963.1,16201074483750,257377650750.29
1,3,441.40133779264,441.40133779264,32038911364935,50167807559548,22094782493123,5998415178496.5,16203373402418,257414172398.06
1,3,444.98996655518,444.98996655518,32043457089052,50174925384356,22097917297124,5999266231029.8,16205672321086,257450694045.82
1,3,448.57859531773,448.57859531773,32046611247397,50179864239143,22100092444353,5999856750551.2,16207267468124,257476035256.53
1,3,452.16722408027,452.16722408027,32049545333838,50184458496434,22102115824777,6000406067567.5,16208751315815,257499608315.04
1,3,455.75585284281,455.75585284281,32051425683739,50187402770462,22103412523523,6000758100960.6,16209702245951,257514715202.26
1,3,459.34448160535,459.34448160535,32052747789587,50189472923390,22104324243948,6001005618276.7,16210370849296,257525336917.33
1,3,462.93311036789,462.93311036789,32053354211418,50190422429400,22104742411748,6001119143154.9,16210677502067,257530208520.52
1,3,466.52173913043,466.52173913043,32053064172685,50189968221275,22104542359139,6001064830085.6,16210530778194,257527877575.63
1,3,470.11036789298,470.11036789298,32052396613170,50188922875882,22104081959276,6000939836482.5,16210193126685,257522513467.26
1,3,473.69899665552,473.69899665552,32050494444860,50185944330236,22102770144006,6000583695845.9,16209231083222,257507229983.65
1,3,477.28762541806,477.28762541806,32048552917079,50182904153942,22101431185515,6000220186215.3,16208249134073,257491630269.21
1,3,480.8762541806,480.8762541806,32045038813170,50177401574533,22099007741377,5999562254335.7,16206471869152,257463395805.84
1,3,484.46488294314,484.46488294314,32041524709261,50171898995123,22096584297239,5998904322456.2,16204694604230,257435161342.47
1,3,488.05351170569,488.05351170569,32036697729966,50164340662540,22093255463253,5998000590261.9,16202253364807,257396378677.46
1,3,491.64214046823,491.64214046823,32031572063374,50156314633352,22089720647457,5997040936970.5,16199661067064,257355196231.11
1,3,495.23076923077,495.23076923077,32025471892868,50146762686725,22085513790797,5995898834256.5,16196575923072,257306184204.6
1,3,498.81939799331,498.81939799331,32018735215431,50136214071935,22080867983957,5994637562886,16193168871648,257252058209.86
1,3,502.40802675585,502.40802675585,32011362244740,50124669123597,22075783374313,5993257162870.5,16189440020881,257192819964.08
1,3,505.99665551839,505.99665551839,32003015287196,50111599067508,22070027080413,5991694410247.9,16185218585402,257125756293.07
1,3,509.58528428094,509.58528428094,31994369973658,50098061833625,22064065033205,5990075798564.3,16180846259188,257056295503.05
1,3,513.17391304348,513.17391304348,31984413645604,50082471760585,22057198879567,5988211735000.4,16175810899724,256976301464.65
1,3,516.76254180602,516.76254180602,31974457317550,50066881687544,22050332725930,5986347671436.5,16170775540260,256896307426.24
1,3,520.35117056856,520.35117056856,31962931902680,50048834675419,22042384493168,5984189838969.8,16164946629942,256803706677.29
1,3,523.9397993311,523.9397993311,31951367292492,50030726289691,22034409230393,5982024668243.7,16159097896960,256710791016.48
1,3,527.52842809365,527.52842809365,31938571915400,50010690719825,22025585201887,5979629069843.5,16152626715263,256607986851.72
1,3,531.11705685619,531.11705685619,31925400290089,49990066005420,22016501703784,5977163029183.5,16145965249590,256502159748.99
1,3,534.70568561873,534.70568561873,31911335785539,49968043184973,22006802455240,5974529821147,16138852218727,256389158875.88
1,3,538.29431438127,538.29431438127,31896558590649,49944904405473,21996611718744,5971763181209.2,16131378751496,256270431946.39
1,3,541.88294314381,541.88294314381,31881225859553,49920895745173,21986037871480,5968892532216.2,16123624327125,256147241603.75
1,3,545.47157190635,545.47157190635,31864844719049,49895245443506,21974741016553,5965825597056.5,16115339679688,256015627895.9
1,3,549.0602006689,549.0602006689,31848244728445,49869252457610,21963293237481,5962717688165.3,16106944350905,255882255853.76
1,3,552.64882943144,552.64882943144,31830261444544,49841093455815,21950891507013,5959350795211.6,16097849434760,255737769848.05
1,3,556.23745819398,556.23745819398,31812278160642,49812934454019,21938489776544,5955983902257.8,16088754518615,255593283842.33
1,3,559.82608695652,559.82608695652,31792811780555,49782453161005,21925065268300,5952339339873.2,16078909540786,255436882015
1,3,563.41471571906,563.41471571906,31773228333548,49751788559936,21911560027974,5948672859891.5,16069005357484,255279539622.57
1,3,567.00334448161,567.00334448161,31752498984427,49719329659645,21897264546819,5944791840911.3,16058521645210,255112990568.87
1,3,570.59197324415,570.59197324415,31731317532444,49686162838667,21882657284984,5940826177969,16047809286262,254942809129.95
1,3,574.18060200669,574.18060200669,31709326557167,49651728433889,21867491757032,5936708953821.2,16036687518724,254766123639.69
1,3,577.76923076923,577.76923076923,31686549435967,49616063050530,21851784084544,5932444545244.6,16025168165477,254583121921.75
1,3,581.35785953177,581.35785953177,31663298243203,49579655347065,21835749481278,5928091379673.8,16013409055130,254396311313.31
1,3,584.94648829431,584.94648829431,31638927965975,49541495336647,21818943131334,5923528696003.3,16001083978657,254200509509.23
1,3,588.53511705686,588.53511705686,31614418030147,49503116643248,21802040469576,5918939865063.4,15988688271206,254003585629.25
1,3,592.1237458194,592.1237458194,31588457287241,49462466218494,21784137297549,5914079410007.6,15975558832178,253795005355.29
1,3,595.71237458194,595.71237458194,31562496544334,49421815793740,21766234125521,5909218954951.7,15962429393150,253586425081.32
1,3,599.30100334448,599.30100334448,31535141807131,49378982597405,21747369622679,5904097512439.2,15948594955106,253366644871.95
1,3,602.88963210702,602.88963210702,31507593465774,49335846248005,21728371605920,5898939822823.1,15934662603650,253145309165.52
1,3,606.47826086957,606.47826086957,31478986175272,49291051754048,21708643313280,5893583873835.3,15920194699022,252915465417.56
1,3,610.06688963211,610.06688963211,31449853279287,49245434246188,21688552550915,5888129519543.2,15905460974564,252681398734.72
1,3,613.65551839465,613.65551839465,31419995283202,49198681347862,21667961742725,5882539410020.6,15890360537837,252441506293.81
1,3,617.24414715719,617.24414715719,31389281052675,49150587723723,21646780455431,5876788993936.3,15874827068935,252194734506.6
1,3,620.83277591973,620.83277591973,31358174263974,49101879416464,21625328450940,5870965082037.5,15859095067599,251944808742.73
1,3,624.42140468227,624.42140468227,31325882094883,49051314993686,21603058980714,5864919239981.3,15842763571791,251685359136.75
1,3,628.01003344482,628.01003344482,31293528491730,49000654375029,21580747144142,5858861896073.1,15826401006314,251425415943.86
1,3,631.59866220736,631.59866220736,31259661955592,48947624746164,21557391954063,5852521296738.7,15809273289946,251153317215.59
1,3,635.1872909699,635.1872909699,31225795419454,48894595117299,21534036763985,5846180697404.2,15792145573579,250881218487.33
