x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12
1,3,193.78595317726,193.78595317726,21133835827422,17656618068447,7216429268424.3,8044434439545.2,6263526303303.7,4475621531011.1,3812625553427.6,4127668837115.8,5370680677501.8,5564982677939.6,2856995110691.3,245803083053.36
1,3,197.3745819398,197.3745819398,21184215713049,17738748570778,7260143524392.2,8108871133886.2,6323999048863,4524647183788.1,3858761266849.9,4178976634608.1,5411635874709.5,5583764521847,2860240553593,245871424858.64
1,3,200.96321070234,200.96321070234,21247304843680,17819262602996,7300584860713.5,8166286831450.8,6377126362535,4567527300076.7,3899138633336.5,4224567242073.9,5452332749420.8,5608311200988,2868022758901.1,246381470837.41
1,3,204.55183946488,204.55183946488,21332415456135,17896975755446,7335355164610.1,8211537152326.9,6417526146385.4,4599758961634.7,3929538433701.2,4260251596554.7,5492582025225.9,5642846688612.8,2883665874188,247656863650.35
1,3,208.14046822742,208.14046822742,21420010544806,17975402011679,7370013707694.8,8255962986406.9,6456795368190.3,4630896789764.8,3958784815918.5,4294574849227,5532002940917.3,5677413789134.4,2899566484362.3,248962327060.94
1,3,211.72909698997,211.72909698997,21521029039945,18057681104923,7404068416942.5,8295934190848,6489956262705.2,4656124732096,3981799381337.4,4321544188548.1,5566948299775.2,5712151691356.8,2916858316764.3,250430259265.66
1,3,215.31772575251,215.31772575251,21622047535085,18139960198167,7438123126190.3,8335905395289.1,6523117157220,4681352674427.1,4004813946756.4,4348513527869.1,5601893658633.1,5746889593579.2,2934150149166.2,251898191470.39
1,3,218.90635451505,218.90635451505,21727386391207,18225367900337,7472880573539.4,8375130110326.6,6554371152880.8,4704312004082.7,4025073196639.1,4371614837278,5632819056740.6,5778897821764.2,2950478663679.6,253298252765.36
1,3,222.49498327759,222.49498327759,21832969831384,18310952719155,7507677804261.9,8414312565144.4,6585517195281.4,4727142903154,4045176462740,4394497169976.1,5663516877036.6,5810751517782.6,2966752642890.1,254694471755.87
1,3,226.08361204013,226.08361204013,21938175021539,18397090172622,7542711807991.6,8453479719262,6616305871751.1,4749435752600.4,4064523126354.9,4416110427557.1,5692346999822.4,5840775997055.5,2982149401123.7,256017705996.12
1,3,229.67224080268,229.67224080268,22043244997984,18483425177386,7577830451391.6,8492641403810.9,6646966799982.6,4771536264485.5,4083599325926.6,4437270026587,5720509473440.1,5870146582948,2997232577606.3,257314850247.2
1,3,233.26086956522,233.26086956522,22147114890763,18569267085738,7612810903131.1,8531655296869.1,6677463503169,4793460624679.3,4102448551956,4458027367865.2,5747926551574.1,5898658984176.5,3011865635291,258573153174.08
1,3,236.84949832776,236.84949832776,22249907261795,18654666256535,7647667276421.7,8570536492057.8,6707812753254.8,4815226823168.5,4121093984754.2,4478423533095.1,5774674359832.6,5926400845261.3,3026094543825,259796581556.14
1,3,240.4381270903,240.4381270903,22351846362856,18739513082844,7682325182872.8,8609220649636.4,6738013368232.8,4836882469452,4139633900026.5,4498669512113.9,5801143085361.2,5953806858428.7,3040142113811.3,261004171834.65
1,3,244.02675585284,244.02675585284,22451948288170,18823170656120,7716555770330.7,8647480565496.5,6767893956929.7,4858300085758.6,4157946625492.3,4518592125171,5827010917806.4,5980489757376,3053799243733.2,262177661089.16
1,3,247.61538461538,247.61538461538,22551761359588,18906608399749,7750700957263.9,8685650961285.5,6797707730236.1,4879670958863.9,4176219449619.9,4538468151865.9,5852805283317.8,6007088074165.5,3067411106735.3,263347202416.36
1,3,251.20401337793,251.20401337793,22649173531984,18988218960852,7784136311163.7,8723077283148.7,6826966146633.6,4900653311307.4,4194160621358.8,4557956961515.1,5877989005549,6032983360032.3,3080646719647.6,264483929317.38
1,3,254.79264214047,254.79264214047,22746585704380,19069829521954,7817571665063.4,8760503605011.8,6856224563031.1,4921635663750.8,4212101793097.7,4577445771164.2,5903172727780.2,6058878645899.1,3093882332559.8,265620656218.39
1,3,258.38127090301,258.38127090301,22841642511673,19149521354540,7850235579323.5,8797091085619.8,6884843983141.6,4942169019856.8,4229665074792.3,4596522159223.6,5927784524273.7,6084154644137.5,3106793712465,266729297410.52
1,3,261.96989966555,261.96989966555,22936430710112,19228994372868,7882811517619.1,8833582903696.7,6913390531297.1,4962651171845.4,4247185261422.3,4615551514196.5,5952331097623.5,6109360018021.5,3119668116422.8,267834735672.44
1,3,265.55852842809,265.55852842809,23029441152246,19306983030359,7914782135588.9,8869403906816.7,6941418353389.2,4982765123295,4264393894137.3,4634245091658,5976437252638.1,6134105488158.2,3132305489180.4,268919752238.23
1,3,269.14715719064,269.14715719064,23121644933450,19384298155776,7946478088097.4,8904920526139,6969210802361.5,5002712002920.6,4281461158561.7,4652786309317.3,6000343566841.1,6158642275933.7,3144835308497,269995502413.4
1,3,272.73578595318,272.73578595318,23212616995070,19460578361763,7977749970290.2,8939963351538.2,6996634016517.1,5022395060460.1,4298303877373.8,4671085144992.2,6023937345590.6,6182857316606,3157200467496,271057102664.05
1,3,276.32441471572,276.32441471572,23302244589937,19535728915529,8008558964300.5,8974489013627.7,7023654197432.9,5041790146591.3,4314901496478.3,4689119411910.2,6047189980518.8,6206721158605.8,3169385893765.9,272103257757.13
1,3,279.91304347826,279.91304347826,23391178089747,19610296166861,8039128689122.5,9008746611960,7050464798582.3,5061035010187.1,4331370819976.6,4707014748439.6,6070263996078.8,6230401823278.4,3181477785289,273141382084.42
1,3,283.5016722408,283.5016722408,23478219249483,19683273136633,8069046084456.1,9042273376979,7076704013742.4,5079870315868.5,4347490365855.2,4724531313301.8,6092851034264.3,6253583084023.9,3193314669161.4,274157611802.62
1,3,287.09030100334,287.09030100334,23565107775673,19756121965848,8098910920809.7,9075741222328.6,7102897116778.4,5098672529497.8,4363581606954.7,4742017162623.1,6115398550117.2,6276723826868.2,3205130871658.5,275172066170.21
1,3,290.67892976589,290.67892976589,23649544358521,19826912313199,8127931436602.9,9108262567417.1,7128349463154.1,5116943144149.5,4379218153024.4,4759009589838.3,6137311169363.3,6299213680044,3216614843386.2,276158000862.76
1,3,294.26755852843,294.26755852843,23733980941369,19897702660550,8156951952396,9140783912505.6,7153801809529.7,5135213758801.2,4394854699094.1,4776002017053.5,6159223788609.3,6321703533219.8,3228098815113.9,277143935555.31
1,3,297.85618729097,297.85618729097,23816189315096,19966623828462,8185205983922,9172446055169.3,7178581597725.6,5153001557277.7,4410078059656.1,4792545619155.3,6180558246782.5,6343600396700.2,3239280076193.5,278103884117.18
1,3,301.44481605351,301.44481605351,23898000906577,20035212147358,8213323525858.2,9203955197710.7,7203241621962.8,5170703379584.2,4425227843338.9,4809009297952.3,6201789750503.6,6365391665162.2,3250407432902.2,279059205269.9
1,3,305.03344481605,305.03344481605,23978121863813,20102382816213,8240859839791.9,9234812898418.5,7227391741184.8,5188039140449,4440064321426.7,4825132521549.4,6222582388289.2,6386732636188.2,3261304885887.1,279994789431.33
1,3,308.6220735786,308.6220735786,24057288064119,20168752891324,8268067915098.2,9265302708432.3,7251253900223.2,5205168174341.6,4454723865509.3,4841063478863.6,6243127184003.1,6407819309397.1,3272072504654.9,280919227462.68
1,3,312.21070234114,312.21070234114,24135310067169,20234163674290,8294882719225.3,9295351783046.7,7274771104821.4,5222049574350,4469171465545.4,4856764104264.1,6263374975650.8,6428601178044.7,3282684487955.7,281830303922.38
1,3,315.79933110368,315.79933110368,24211811184757,20298299350653,8321174780952.6,9324815025054,7297829790409.5,5238601815402.2,4483337346133.6,4872158568766.8,6283227984699.6,6448977895549.4,3293089598081.3,282723619965.35
1,3,319.38795986622,319.38795986622,24287722981202,20361940964506,8347264303264.8,9354051293937,7320710836428.9,5255026537860.7,4497394089417,4887434426919.2,6302928038671,6469197627121.5,3303414546629.1,283610053893.51
1,3,322.97658862876,322.97658862876,24361540136201,20423826517467,8372633933784.9,9382480825577.9,7342960492911.4,5270998017236.1,4511062922772.4,4902288719037.3,6322084439918.5,6488859378982.6,3313454574526.3,284472026518.83
1,3,326.5652173913,326.5652173913,24435330774067,20485689839693,8397994450958.9,9410900144651.7,7365202156726.4,5286963759178,4524726845812.4,4917137674882.4,6341233959319.6,6508514067448.4,3323490995595.3,285333689485.24
1,3,330.15384615385,330.15384615385,24506445850806,20545310095462,8422435437566.5,9438289022483.6,7386637365700.3,5302350597896.6,4537895321306.8,4931448204332,6359689105002.3,6527456064026.9,3333163490095.2,286164108073.58
1,3,333.74247491639,333.74247491639,24577560927546,20604930351230,8446876424174.2,9465677900315.5,7408072574674.2,5317737436615.2,4551063796801.1,4945758733781.5,6378144250685.1,6546398060605.4,3342835984595,286994526661.93
1,3,337.33110367893,337.33110367893,24646500267419,20662726563250,8470569656312.8,9492228836043,7428851989005.5,5332653525141.7,4563829389881.9,4959631436643.5,6396034760254.2,6564760522951.6,3352212546702.7,287799538375.21
1,3,340.91973244147,340.91973244147,24714895863162,20720066923693,8494076015162.3,9518570359451.9,7449467511970.1,5347451967247.5,4576494297557.5,4973394721109.6,6413784160124.8,6582978152371.1,3361515151566.6,288598200589.41
1,3,344.50836120401,344.50836120401,24781676286135,20776053187474,8517027270571.2,9544289827843.9,7469596199745.2,5361900944432.6,4588860123480.9,4986832984736.6,6431114404232.5,6600765567135.9,3370598072370.2,289378002124.84
1,3,348.09698996656,348.09698996656,24847335683988,20831099628344,8539593251467.5,9569577553382.4,7489386995198.5,5376107372360.7,4601018369036.5,5000045664740.5,6448153729530.6,6618254387568,3379528519484.9,290144713237.32
1,3,351.6856187291,351.6856187291,24911947743306,20885268019624,8561799281065.2,9594461913261.8,7508862106983.1,5390087193157,4612982678112.4,5013047588825.9,6464921259254.8,6635464241990.1,3388316515983.4,290899194446.8
1,3,355.27424749164,355.27424749164,24974854902108,20938007085858,8583419367214,9618689658019.9,7527823335977.4,5403698133593.6,4624631289452.9,5025706435805.5,6481246349025,6652219984128.9,3396872625541.1,291633767319.87
1,3,358.86287625418,358.86287625418,25037289400676,20990349890957,8604877008345.7,9642735364883.7,7546642097690.1,5417206806762.2,4636192377719.8,5038270169204.4,6497448778411.1,6668849830040,3405364447746.2,292362820891.06
