x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9
1,3,75.361204013378,75.361204013378,915710893.79959,3220761595.4225,1569803948.7955,2932731395.2457,3660699450.7558,44540665080.658,13133565610540,9313542348364.9,1320011437326.8
1,3,78.94983277592,78.94983277592,1383410411.6167,4821880967.2099,2345894798.149,4367052181.9063,5204262635.8465,48777156907.853,14049933029907,9962661984177.3,1411957357287.7
1,3,82.538461538462,82.538461538462,2129780103.005,7339068491.6713,3562205895.2243,6601266579.8529,7575748485.4364,53880702954.342,15013839469908,10645051583889,1508585574647.8
1,3,86.127090301003,86.127090301003,3151973044.6152,10749906629.135,5206598097.0278,9608462226.5629,10742155071.229,59781970903.269,16013323341930,11352248338436,1608698266110
1,3,89.715719063545,89.715719063545,4739426794.5953,15972936640.573,7717035569.377,14172193153.813,15501518173.521,67229056565.899,17068828920125,12098329283579,1714259447364.3
1,3,93.304347826087,93.304347826087,7309705925.6079,24255669220.883,11679932414.354,21312086677.351,22862828602.934,77065855528.628,18179695034258,12882310640024,1825092443698
1,3,96.892976588629,96.892976588629,10847318337.597,35485020667.585,17034463790.88,30895569073.554,32668310577.184,89091104326.386,19329442057136,13692603467918,1939562578119.7
1,3,100.48160535117,100.48160535117,16235413330.803,52279462139.631,25009213431.414,45051879469.954,47020317346.94,105121903307.52,20536309731988,14541075519949,2059274796916.3
1,3,104.07023411371,104.07023411371,25084872407.37,79065879568.139,37641029590.22,67175438477.189,69143830348.863,127770357135.3,21797979133168,15424530678743,2183667398785.8
1,3,107.65886287625,107.65886287625,37323327547.764,115317259212.55,54646811851.501,96659427393.576,98336287963.837,156317643039.98,23093031788770,16328204193538,2310680898909.1
1,3,111.2474916388,111.2474916388,55611462039.749,168199904912.04,79306052939.123,138916304325.81,139698265717.06,194912096529.57,24430814706546,17256297027810,2440741347081.3
1,3,114.83612040134,114.83612040134,86073982229.189,252640867522.65,118253707607.58,204286860155.31,202446526325.26,250619018803.34,25793697501663,18192261292844,2571233099058.3
1,3,118.42474916388,118.42474916388,128398104255.29,366284645367.04,170225278384.62,290143039262.14,283667672496.45,320756905226.06,27157454560840,19120565485710,2700077826014.2
