x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9
1,3,261.96989966555,261.96989966555,26943403630285,31800680865685,10338818193270,11551743060452,7051324049691.2,5895566746586.9,17650523857563,2217868399985.6,174177346035.31
1,3,265.55852842809,265.55852842809,26928018649440,31782430970646,10332871049370,11545077312291,7047246904250.5,5892171227113.3,17640436446706,2216602260972.3,174077928570.26
1,3,269.14715719064,269.14715719064,26912521451168,31764082215425,10326895959276,11538384883871,7043154187150.3,5888756406771.8,17630262680326,2215324784388.8,173977614889.77
1,3,272.73578595318,272.73578595318,26896861080485,31745561208415,10320867881166,11531637649251,7039029672355.9,5885311916818.2,17619982674163,2214033650898.2,173876224916.76
1,3,276.32441471572,276.32441471572,26881022601179,31726852182309,10314781964709,11524830591667,7034870449220.9,5881835041403.3,17609586703413,2212727610396.7,173773660131.33
1,3,279.91304347826,279.91304347826,26865096301042,31708043203008,10308664220621,11517989191110,7030690875239.5,5878340772436.7,17599135461118,2211414565592.5,173670544527.91
1,3,283.5016722408,283.5016722408,26848930571339,31688961717173,10302459703546,11511054159884,7026455817903.5,5874799082710.2,17588533529724,2210082424668.1,173565927206.65
1,3,287.09030100334,287.09030100334,26832746121440,31669858317961,10296248109457,11504111331653,7022216068759.8,5871253473627.6,17577919703671,2208748785826.3,173461192204.72
1,3,290.67892976589,290.67892976589,26816260945629,31650402896777,10289922828449,11497043250376,7017900949246.3,5867644903029.1,17567114798850,2207391084064.6,173354566751.16
1,3,294.26755852843,294.26755852843,26799775769819,31630947475593,10283597547441,11489975169099,7013585829732.7,5864036332430.6,17556309894030,2206033382303,173247941297.59
1,3,297.85618729097,297.85618729097,26783022597180,31611175694846,10277169567968,11482792892288,7009201417730.3,5860370079422.8,17545332297060,2204653977337.6,173139611340.96
1,3,301.44481605351,301.44481605351,26766221701739,31591347579236,10270723300746,11475590280420,7004804666657.5,5856693554777.6,17534323948408,2203270707633.5,173030977859.59
1,3,305.03344481605,305.03344481605,26749220105542,31571282198753,10264199893576,11468301586181,7000355480134.1,5852973330123.3,17523185081322,2201871041986.6,172921056788.39
1,3,308.6220735786,308.6220735786,26732105167007,31551082826970,10257632922931,11460964278389,6995876681582,5849228426632.3,17511972506171,2200462117010,172810408572.74
1,3,312.21070234114,312.21070234114,26714855751506,31530724540473,10251014272098,11453569233742,6991362659917.5,5845454123958.7,17500672076937,2199042155331.2,172698893633.49
1,3,315.79933110368,315.79933110368,26697427587052,31510155021974,10244326927127,11446097444339,6986801819123.2,5841640743417.3,17489254870636,2197607523489.9,172586226631.25
1,3,319.38795986622,319.38795986622,26679930761295,31489504410516,10237613212005,11438596187083,6982222992062.8,5837812336103.9,17477792721549,2196167245134,172473116196.35
1,3,322.97658862876,322.97658862876,26662189890648,31468565567969,10230805768680,11430990191376,6977580235888.6,5833930518694.2,17466170830993,2194706897205.6,172358429655.67
1,3,326.5652173913,326.5652173913,26644445955600,31447623107525,10223997148992,11423382881136,6972936677270.1,5830048030554.6,17454546933261,2193246297082,172243723309.37
1,3,330.15384615385,330.15384615385,26626392824416,31426315603523,10217069834995,11415642935293,6968212152556.6,5826097866229.3,17442720512879,2191760250624.8,172127018587.85
1,3,333.74247491639,333.74247491639,26608339693231,31405008099522,10210142520997,11407902989451,6963487627843.1,5822147701903.9,17430894092498,2190274204167.6,172010313866.32
1,3,337.33110367893,337.33110367893,26590037091875,31383406120502,10203119464510,11400056061450,6958697796895.5,5818142939880.7,17418904240712,2188767622288.2,171891996428.57
1,3,340.91973244147,340.91973244147,26571672144772,31361730548453,10196072480764,11392182397256,6953891645094.9,5814124533203.1,17406873545354,2187255908347.4,171773275952.65
1,3,344.50836120401,344.50836120401,26553123404993,31339838044216,10188954968351,11384229927842,6949037388389.8,5810065906771.6,17394722442655,2185729064775.1,171653367292.49
1,3,348.09698996656,348.09698996656,26534447102264,31317794976251,10181788504884,11376222762958,6944149744045,5805979365459.9,17382487770165,2184191720346.6,171532633962.4
1,3,351.6856187291,351.6856187291,26515652497176,31295612278782,10174576645925,11368164876493,6939231138329.5,5801866937356.2,17370175596125,2182644637499.4,171411135838.59
1,3,355.27424749164,355.27424749164,26496665314669,31273202286696,10167290890326,11360024423364,6934262132428.2,5797712369673.5,17357737261895,2181081702055.7,171288392752.27
1,3,358.86287625418,358.86287625418,26477625122637,31250729729173,10159984793936,11351861243145,6929279253622.6,5793546202839.5,17345264200972,2179514403038.6,171165306978.44
1,3,362.45150501672,362.45150501672,26458327548752,31227953392135,10152579935095,11343587714071,6924229016473.4,5789323717615.7,17332622528453,2177925917176.3,171040557323.5
