x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12,group13,group14,group15
1,3,197.3745819398,197.3745819398,889127962660.85,20236023371381,9035993409933.8,15896320707704,4690600490010.6,3402338604240,6306225568045.4,2772563293633.6,1742338194372.6,3846431707932.1,4165015797232,5392928593336.4,5564192415638.9,2850167914718.9,245004311376.31
1,3,200.96321070234,200.96321070234,890369638875.22,20298632150549,9066682946730.9,15987637799287,4721558133467.8,3427143761144.5,6360870765106.8,2798500183150.4,1759470080554.5,3888106012151.4,4211947733016,5435200853197.7,5590288939299.5,2858732721553.2,245581391035.33
1,3,204.55183946488,204.55183946488,893489709428.88,20381636073510,9102181686731,16065469679181,4746468326776.1,3446465716674.3,6402095611277.1,2817905635218.1,1772250177888.8,3919354032197.4,4248629707628.8,5476748306295.1,5626146724380.2,2875048218028.1,246914437048.62
1,3,208.14046822742,208.14046822742,896790187602.23,20467006338324,9138656800957.1,16142974811930,4771054774581.7,3465416911972,6442121657456.9,2836670739191.1,1784578560886.5,3949380621247.7,4283882453341.4,5517398112529.6,5661975547293.9,2891592266629.3,248275121012.09
1,3,211.72909698997,211.72909698997,901065392276.55,20565161740036,9180407179246.8,16218714558596,4793892053911.7,3482364922347.2,6475670692731.3,2851976098732.1,1794466371055.5,3972807926063.3,4311413201017.9,5553198011718.9,5697647890167.1,2909371162266.2,249785130389.42
1,3,215.31772575251,215.31772575251,905340596950.87,20663317141748,9222157557536.4,16294454305263,4816729333241.8,3499312932722.5,6509219728005.8,2867281458273.1,1804354181224.5,3996235230878.9,4338943948694.5,5588997910908.2,5733320233040.4,2927150057903.2,251295139766.74
1,3,218.90635451505,218.90635451505,909889019814.16,20765670411568,9266545601047.9,16371712192673,4839570630762.5,3515960493404.2,6540789790779.9,2881369494608.6,1813315175421,4016747671656.4,4362396369789.5,5620501599473.1,5765988289187.6,2943828453565.3,252725600025.29
1,3,222.49498327759,222.49498327759,914452910091.55,20868261330881,9311082967927.5,16449056024990,4862412155760.8,3532591045043.3,6572247820064.4,2895388615905.2,1822223700759.2,4037095096300.6,4385617908869.4,5651762071182.7,5798486266809,2960444547779.3,254151556853.21
1,3,226.08361204013,226.08361204013,918990493534.21,20970501422106,9355968152359.8,16526980128683,4885366809044.7,3549247603143.8,6603378577976.4,2909161120215.3,1830925892362.9,4056665152998.1,4407516757717,5681050073106.6,5829032734949.6,2976118657198.1,255498912464.75
1,3,229.67224080268,229.67224080268,923518673025.63,21072616102186,9400977671754.5,16605111663024,4908361902499.1,3565913457820.4,6634392345605.6,2922845465910.4,1839554325477.7,4075957322585.9,4428942782122.5,5709632972729.8,5858881593507.2,2991456033627.9,256818170358.95
1,3,233.26086956522,233.26086956522,927981824451.47,21173567683536,9445659158974.4,16682969092785,4931290766161.1,3582532675151,6665266622566.5,2936449625566,1848121695732.5,4095031127701.9,4449963265904.6,5737443820037.1,5887832900415.1,3006320847467.9,258096595311.87
1,3,236.84949832776,236.84949832776,932386588985.65,21273474950882,9490046115227.2,16760580411667,4954160163934.2,3599110018105.7,6696015654735.5,2949981788406.9,1856634239343.3,4113908869431.4,4470619626039,5764561463040.8,5915978320657.8,3020761360500.5,259338357502.4
1,3,240.4381270903,240.4381270903,936749756625.75,21372553129355,9534109322125.6,16837760570409,4976913474854.9,3615608204303.9,6726623957690.2,2963451782926.6,1865107011671.7,4132686792024.4,4491129148497.9,5791396690231.5,5943779706071.1,3035015327584.1,260563804619.26
1,3,244.02675585284,244.02675585284,941023361984.66,21469846196402,9577475464222.2,16914012398164,4999416839150,3631935958073.5,6756929256544.5,2976787922821.3,1873494152443.5,4151249794014.2,4511322514727.4,5817623847877.2,5970840350022.5,3048867642546.5,261754123747.64
1,3,247.61538461538,247.61538461538,945283902436.91,21566858947227,9620721101984.8,16990075665384,5021866799925.2,3648226178063.1,6787168410670.1,2990095597593.8,1881863620760.8,4169773847081.7,4531470163821,5843777607000.8,5997815712707.5,3062674152342.6,262940443226.9
1,3,251.20401337793,251.20401337793,949435849852.17,21661541762537,9662965130478.1,17064571653044,5043872880728.2,3664204424361.7,6816857782301.4,3003166675645.2,1890086198972.7,4187974164061.5,4551237820715.1,5869321291470,6024082233611.2,3076099938245.8,264093518377.95
1,3,254.79264214047,254.79264214047,953587797267.43,21756224577847,9705209158971.3,17139067640704,5065878961531.2,3680182670660.3,6846547153932.7,3016237753696.6,1898308777184.7,4206174481041.4,4571005477609.1,5894864975939.3,6050348754514.9,3089525724149,265246593528.99
1,3,258.38127090301,258.38127090301,957637708711.73,21848625896094,9746439822873.5,17211852705316,5087388023149.6,3695805064055.2,6875594255223.1,3029030227309.1,1906357884851.1,4223997996635.7,4590362625601,5919837044443.8,6075994160769.1,3102625769266.7,266371435034.2
1,3,261.96989966555,261.96989966555,961675983843.21,21940767029493,9787554921379.9,17284442654071,5108840404063.7,3711386875529.3,6904568111181.2,3041790928514.6,1914387209714.4,4241778541317.3,4609672958632,5944743925131.5,6101568734313.2,3115688666488.1,267493056738.27
1,3,265.55852842809,265.55852842809,965638655477,22031188237485,9827899908342.8,17355689137111,5129897928548.4,3726683343405.8,6933018131994.6,3054322560337.3,1922273159495.8,4259245535930.2,4628646026923.4,5969208663362.1,6126681424613.3,3128513428570.9,268594158491.12
1,3,269.14715719064,269.14715719064,969567021853.41,22120829025450,9867895455458.4,17426326019557,5150776286038.9,3741850335982.1,6961230461431.2,3066750251411.6,1930094052511,4276570256493.1,4647466060579.7,5993472778456.8,6151584534351,3141230136298.2,269685949269.88
1,3,272.73578595318,272.73578595318,973443276534.56,22209278685463,9907357713465.1,17496021995518,5171376846889.9,3756815791062.7,6989069569546.5,3079013982739.6,1937811984901.3,4293668258662.4,4666041642610.3,6017422055303.4,6176163673677.3,3153781065393.1,270763494388.31
1,3,276.32441471572,276.32441471572,977262649403.85,22296428185970,9946237867001.9,17564690937809,5191674182599.1,3771561260632.4,7016501293007.2,3091098746037.7,1945417532022.6,4310518789454.2,4684350396795.3,6041027674744.7,6200389187509.7,3166151041077.7,271825489850.03
1,3,279.91304347826,279.91304347826,981052660288.69,22382906454693,9984817978136.1,17632829181170,5211814626461.1,3786192759621.3,7043721204527,3103090267741,1952964435934.2,4327239681135.5,4702518832830.7,6064453034022.1,6224429922039.6,3178426679927.1,272879386116.49
1,3,283.5016722408,283.5016722408,984762620380.33,22467554716429,10022580071253,17699520558077,5231527329588.2,3800513535900.2,7070363644388,3114827581026,1960351458436.4,4343607132345.4,4720304713688.5,6087386942556,6247966885111.5,3190445124359,273911201211.74
1,3,287.09030100334,287.09030100334,988466117236.68,22552055344869,10060276249886,17766095375149,5251205568423.3,3814809269853.8,7096959492628,3126544369744.5,1967725564830.5,4359945981783.1,4738059561097.6,6110280935079.7,6271462936899.7,3202442688895.6,274941223981.8
1,3,290.67892976589,290.67892976589,992065787069.56,22634184355215,10096913561825,17830797745978,5270330164276.2,3828702717649.2,7122806881451.4,3137931446707.1,1974892183644.7,4375825365221.3,4755315879447.2,6132533706863.4,6294301779624.6,3214104833587.6,275942454393.23
1,3,294.26755852843,294.26755852843,995665456902.44,22716313365561,10133550873764,17895500116808,5289454760129.1,3842596165444.7,7148654270274.8,3149318523669.6,1982058802458.9,4391704748659.5,4772572197796.8,6154786478647.1,6317140622349.5,3225766978279.5,276943684804.66
1,3,297.85618729097,297.85618729097,999170692407.26,22796286706305,10169226302390,17958502609162,5308076800241.7,3856124463859.5,7173822179266.4,3160406229114.9,1989036998954.6,4407166647214.3,4789375025746.9,6176455160368.2,6339380457916.4,3237123356080.3,277918667204.35
1,3,301.44481605351,301.44481605351,1002659111777.4,22875876182079,10204730446276,18021202400305,5326609349115.2,3869587739297,7198869091745,3171440624796,1995981642661.3,4422554203290.2,4806097099634.3,6198019831848.7,6361513626921.7,3248425285278.2,278888975561.12
1,3,305.03344481605,305.03344481605,1006075841707.7,22953829750785,10239504794425,18082613019802,5344760811048.4,3882774145026.4,7223400836512.2,3182248046043.4,2002783429507.5,4437625197541.5,4822475172735.2,6219141079606.7,6383191836449.6,3259494934574.1,279839343067.99
1,3,308.6220735786,308.6220735786,1009452086246.5,23030859468802,10273867002844,18143295601543,5362697060614.5,3895804193298.1,7247641649077.9,3192927287340.5,2009504540372,4452517418887.4,4838658977243.7,6240011911360.3,6404613115351.8,3270433407746.6,280778449319.08
1,3,312.21070234114,312.21070234114,1012779797560.2,23106781844644,10307735243549,18203105777033,5380375439290.9,3908646901354.9,7271533910691.8,3203452968692.3,2016129003420.8,4467195479017.7,4854610036007.6,6260582624690.9,6425726394482.1,3281214614468.2,281704053995.88
1,3,315.79933110368,315.79933110368,1016042997727.6,23181232323391,10340946894395,18261756336051,5397711051818.1,3921240593774.2,7294962872754.5,3213774535686.1,2022625000633,4481588872603.2,4870251725370.8,6280754415769.3,6446430275344,3291786780084.8,282611712162.19
1,3,319.38795986622,319.38795986622,1019281195973.1,23255112378548,10373904089277,18319957529097,5414913841989.2,3933737794637.2,7318212319215.6,3224017016162.1,2029071223152.3,4495871974732.3,4885773552901.2,6300771631095.6,6466975506255.2,3302277934348.3,283512415256.59
1,3,322.97658862876,322.97658862876,1022430529152.8,23326964960382,10405956863853,18376561527470,5431644537759.1,3945892032727.5,7340823708101.4,3233978397104.9,2035340530018.2,4509763064698.3,4900869351998.6,6320239433286.2,6486956842987.1,3312481147580.5,284388397734.57
1,3,326.5652173913,326.5652173913,1025578737181,23398791871846,10437998187231,18433145303552,5448369256334.1,3958041928598.1,7363427018782.1,3243936219198.1,2041607597071.6,4523649191770.6,4915959757663.9,6339700279871.3,6506931040592.9,3322680715308.4,285264067233.03
1,3,330.15384615385,330.15384615385,1028613418162.6,23468028659886,10468884092418,18487688663932,5464490879928.2,3969753697390.9,7385215243929.2,3253534955732,2047648668533,4537034566168.2,4930505969620.2,6358459310480.6,6526184905123.2,3332512454080.1,286108157305.58
1,3,333.74247491639,333.74247491639,1031648099144.2,23537265447926,10499769997606,18542232024312,5480612503522.2,3981465466183.7,7407003469076.2,3263133692266,2053689739994.4,4550419940565.8,4945052181576.4,6377218341089.9,6545438769653.5,3342344192851.7,286952247378.12
1,3,337.33110367893,337.33110367893,1034590449145,23604395696056,10529716198095,18595115909441,5496243629174.2,3992820906361,7428128790345.2,3272440388161.7,2059547012222.3,4563398063799.1,4959155819032.8,6395406611120.2,6564106812915.6,3351876788611.4,287770654925.8
1,3,340.91973244147,340.91973244147,1037509724467,23670999493248,10559427554508,18647585070738,5511752173193.4,4004087295515.4,7449088443559.8,3281674099412.2,2065358350699.6,4576274409821.2,4973148851530.1,6413452240870.6,6582628452041.4,3361334624753,288582644086.03
1,3,344.50836120401,344.50836120401,1040360448571.4,23736039283182,10588441221680,18698822140919,5526896542764.6,4015089125380.1,7469555918709,3290690983104.3,2071033226329.4,4588848390921.9,4986813295522.9,6431074113864.3,6600715153989.6,3370570365293.1,289375565526.67
1,3,348.09698996656,348.09698996656,1043163594089.4,23799993559877,10616970651387,18749204067231,5541788153800,4025907335501.5,7489681793265.6,3299557375688.3,2076613388698.2,4601212512941.9,5000249679722.5,6448401874687.4,6618499983895.9,3379651958392.6,290155252845.83
1,3,351.6856187291,351.6856187291,1045922282830.4,23862933546093,10645047614807,18798786954328,5556443589234.2,4036553972696.7,7509488478676.5,3308283150464.3,2082105051688.5,4613380544337.3,5013472967254.7,6465454821561.4,6636002749915.6,3388589518999.8,290922574452.53
1,3,355.27424749164,355.27424749164,1048608603011,23924222428773,10672388035096,18847069132707,5570714568363.2,4046921316463.9,7528775574938.5,3316780021819.9,2087452651770.2,4625229371392.2,5026349367314.3,6482060415046.6,6653046360801.8,3397292617623.9,291669766646.64
1,3,358.86287625418,358.86287625418,1051274857527.3,23985053508859,10699524233492,18894990662117,5584878948818,4057211220174.6,7547918603967.3,3325213424782,2092760307309.7,4636989692171.2,5039129585411.8,6498541970533.4,6669962661612.6,3405930706951.8,292411377557.89
1,3,362.45150501672,362.45150501672,1053843685441.2,24043661779358,10725668855199,18941161100565,5598525751263.1,4067125122301.9,7566362130564.1,3333338664016.2,2097874016566,4648320280567.7,5051442802686.5,6514421273309.8,6686260822507.2,3414253150870.5,293125889170.86
1,3,366.04013377926,366.04013377926,1056412513355,24102270049857,10751813476905,18987331539012,5612172553708.2,4077039024429.1,7584805657160.9,3341463903250.4,2102987725822.3,4659650868964.3,5063756019961.2,6530300576086.1,6702558983401.8,3422575594789.2,293840400783.82
1,3,369.62876254181,369.62876254181,1058867814981,24158288192324,10776802664225,19031461518439,5625216248194.8,4086514790516.9,7602434087953,3349230054386.6,2107875438952.2,4670480711140.4,5075525063923.1,6545478103648.5,6718136857004.8,3430530233158.1,294523334966.63
1,3,373.21739130435,373.21739130435,1061318512493.9,24214201290905,10801744992348,19075508746070,5638235483348.5,4095972787787.2,7620029462143.4,3356981642532.6,2112753986700.6,4681290245313.1,5087272038675.1,6560627170380.2,6733685519010.8,3438469954996.4,295204988511.61
1,3,376.80602006689,376.80602006689,1063680004865.5,24268079153935,10825779419031,19117952649553,5650780816506.8,4105086512443.2,7636984361284.4,3364451071227.9,2117454954220.7,4691706309766,5098591420121.5,6575224805518.8,6748668203359.6,3446120667583.9,295861829574.14
1,3,380.39464882943,380.39464882943,1066011962855.7,24321283183349,10849513254212,19159865718310,5663169248369.2,4114086253997.5,7653727209482.2,3371827081486.7,2122097127795.8,4701992102750.3,5109769232331.4,6589639870564.1,6763463501648.3,3453675693876.9,296510455624.53
1,3,383.98327759197,383.98327759197,1068279308202.7,24373013060699,10872589482604,19200617475086,5675214425833.9,4122836633678.4,7670006151874.8,3378998719363.5,2126610677306.4,4711992899602,5120637332189,6603655525305.1,6777848853688,3461021386359.8,297141109615.31
1,3,387.57190635452,387.57190635452,1070491946755,24423494790160,10895108922760,19240385962136,5686968973680.1,4131375881480,7685892310466.2,3385997317454.9,2131015322275.7,4721752393449.9,5131243202099,6617333003856.3,6791887108872.5,3468189838271.9,297756546866.37
1,3,391.16053511706,391.16053511706,1072664818187.4,24473069223831,10917223625938,19279439697020,5698512258898.7,4139761654644.7,7701492949171.2,3392870130574,2135340803054,4731336480857.3,5141658453467.7,6630764657522.5,6805673054635.7,3475229451604.9,298360922862.44
1,3,394.7491638796,394.7491638796,1074757586751.6,24520816092538,10938523067842,19317053707363,5709629998026.8,4147838284008.3,7716518465466.9,3399489575154.9,2139506823484.8,4740567247254.4,5151689742107.6,6643701146379.3,6818950773794.5,3482009545522.1,298943018184.12
1,3,398.33779264214,398.33779264214,1076835668283.6,24568227873314,10959673029858,19354403741164,5720669712379.8,4155858231203.2,7731438531854.1,3406062564078.4,2143643606523.1,4749733231487.6,5161650630388.6,6656546845747.9,6832135308525.1,3488742055991.5,299521028295.51
1,3,401.92642140468,401.92642140468,1078808045819.2,24613227993735,10979747170618,19389853910187,5731147874857,4163470231330.7,7745599665019,3412301207129.1,2147569965210.6,4758432972202.7,5171104840456.7,6668739124361.4,6844649185885.3,3495132103770,300069636752.09
1,3,405.51505016722,405.51505016722,1080780423354.9,24658228114156,10999821311378,19425304079209,5741626037334.1,4171082231458.3,7759760798183.9,3418539850179.7,2151496323898.1,4767132712917.8,5180559050524.8,6680931402974.9,6857163063245.4,3501522151548.5,300618245208.67
1,3,409.10367892977,409.10367892977,1082642527500.6,24700712322612,11018773125155,19458772255991,5751518373149.8,4178268649772.2,7773130190966.3,3424429694266.2,2155203162025.9,4775346055415.2,5189484679627.1,6692442014741.2,6868977292212.1,3507554932779.4,301136181046.69
1,3,412.69230769231,412.69230769231,1084494022607.9,24742954483492,11037616963561,19492049751849,5761354348518.1,4185414124266,7786423413022.6,3430285981556.9,2158888880806,4783512603147.2,5198359455701.2,6703887045592.5,6880724210318.6,3513553342576.2,301651165973.43
