x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12
1,3,244.02675585284,244.02675585284,27077300411242,22645813906465,9280607327150.7,10391400557284,8093228920888,5733297312125.2,4873110120169.6,5933821393156.3,11184015608352,6577580351995.8,2223768328876,174629251412.95
1,3,247.61538461538,247.61538461538,27060795404493,22631561348629,9274675963385.5,10384646207865,8087912819097.2,5729513526832.3,4869903414660.6,5930096725805.8,11177428336407,6573774420685.7,2222490184627,174529043101.8
1,3,251.20401337793,251.20401337793,27043956693210,22617308351583,9268793887867.5,10377995867375,8082691954724.7,5725793484242.2,4866731186440.1,5926299374162.8,11170471574335,6569716570225.8,2221122686778.3,174421739807.03
1,3,254.79264214047,254.79264214047,27027117981927,22603055354537,9262911812349.4,10371345526886,8077471090352.3,5722073441652.1,4863558958219.6,5922502022519.8,11163514812262,6565658719765.9,2219755188929.6,174314436512.26
1,3,258.38127090301,258.38127090301,27009946088194,22588638668562,9256987136492.8,10364680637303,8072257077188.3,5718365689920.1,4860397451825.3,5918672161610.6,11156378874887,6561476534412.8,2218343238923.3,174203596464.06
1,3,261.96989966555,261.96989966555,26992736197907,22574203315293,9251057602439,10358014088524,8067043845344.9,5714659339853.3,4857237168161.7,5914838593303,11149222504129,6557280169749.2,2216926219535.9,174092353079.96
1,3,265.55852842809,265.55852842809,26975301261611,22559607992306,9245069899364.7,10351294948807,8061798291085.3,5710934967511.6,4854064495406.2,5910979335355.3,11141981241909,6553027624306.3,2215489377010.9,173979537028.12
1,3,269.14715719064,269.14715719064,26957764210182,22544940082701,9239055801966.3,10344551945833,8056538070456.6,5707202417522,4850886201072.4,5907108420675.4,11134701459997,6548749586708.3,2214043539692.6,173866007374.74
1,3,272.73578595318,272.73578595318,26940086625234,22530158510049,9232996675465.7,10337761967624,8051244084833.4,5703447814368,4847690690497.5,5903215323717.6,11127371915367,6544440796376.4,2212587098869.6,173751641005.66
1,3,276.32441471572,276.32441471572,26922255642836,22515252870045,9226888398061.3,10330920714235,8045913243489.8,5699669139382.6,4844476387769.2,5899298013996.4,11119988052921,6540098438316.3,2211119083935.3,173636361330.92
1,3,279.91304347826,279.91304347826,26904350483060,22500284852778,9220754699223.3,10324051583521,8040561286607.3,5695875959886.6,4841250203741.1,5895366465234.6,11112576526792,6535739616564.8,2209645473123.3,173520641621.52
1,3,283.5016722408,283.5016722408,26886243090433,22485146773801,9214551692878.9,10317106449705,8035151761556.9,5692043236143.5,4837991627234.1,5891396095987.4,11105089580022,6531335909170,2208156606038.3,173403722227.37
1,3,287.09030100334,287.09030100334,26868119939192,22469995372987,9208343216216.3,10310155212091,8029737519281.9,5688207204805.7,4834730279868.4,5887422417800.8,11097596435534,6526928557422.1,2206666506483.2,173286706039.09
1,3,290.67892976589,290.67892976589,26849743637655,22454629966861,9202046862998.4,10303105921551,8024247498333.6,5684318039441.3,4831424420737.7,5883395583986.6,11090003729346,6522462661876.3,2205156608222.7,173168134925.9
1,3,294.26755852843,294.26755852843,26831367336118,22439264560736,9195750509780.4,10296056631012,8018757477385.3,5680428874076.8,4828118561607.1,5879368750172.5,11082411023159,6517996766330.5,2203646709962.1,173049563812.7
1,3,297.85618729097,297.85618729097,26812765077751,22423708804353,9189375948049.8,10288919670734,8013199239326.5,5676491500150.5,4824771917747.1,5875292840333.9,11074726719050,6513477117963.5,2202118651629.8,172929566846.37
1,3,301.44481605351,301.44481605351,26794122582740,22408119151869,9182987459552.3,10281767098908,8007628853692.2,5672545541616.5,4821418011258,5871208191416.5,11067026103891,6508947897709.9,2200587359492.5,172809315975.14
1,3,305.03344481605,305.03344481605,26775310531615,22392387188010,9176540556794.9,10274549022429,8002007415043.6,5668563416728.1,4818033394277.7,5867086354375.2,11059255833885,6504377777801.8,2199042247933.1,172687980036.14
