x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12,group13,group14,group15,group16,group17,group18
1,3,43.063545150502,43.063545150502,311408.43000757,23787177.236438,15718902.306355,34416934.696923,12033132.40724,18843207.700348,16013576.638086,41553923.624777,23816937.143372,27787035.597296,7676674589.7327,447330896765.98,8290098381378.4,7815677047164.3,1904495729525.9,1367989081121.6,237317744552.74,80068316424.434
1,3,46.652173913043,46.652173913043,500983.95841762,36936660.011959,24395535.845771,53365255.075286,18654095.293447,29202346.978442,24811437.890015,64345821.624829,36860779.210679,38226556.129882,8402606312.584,488207736179,9047406888486.3,8529634952446.5,2078469453614.7,1492953159286,258996394203.06,87382449687.746
1,3,50.240802675585,50.240802675585,805386.96959282,57252332.778977,37792335.617634,82588194.823545,28862573.46614,45168358.225365,38367187.407483,99436451.04127,56934854.360328,53799153.847093,9162845388.7283,530172419302.48,9824724911479.3,9262449773114.1,2257037562876.9,1621217158133.5,281247494351.39,94889722949.495
1,3,53.829431438127,53.829431438127,1228940.1976817,84845672.404127,55980871.764419,122233844.45079,42709653.436053,66819626.194658,56746390.60665,146988492.11501,84130274.314437,74566311.035488,9954832964.1904,573063567799.67,10619059745383,10011299972909,2439512508102.8,1752287212244.9,303985369373.13,102561230245.58
1,3,57.418060200669,57.418060200669,1964692.1209363,130936025.6852,86341293.595571,188326641.79443,65787222.301414,102887996.00506,87353756.066902,226106885.88218,129358016.25007,108468213.92088,10816095001.682,617651129504.24,11444446152006,10789405495115,2629114748058.5,1888476247616.6,327611237145.55,110532340554.29
1,3,61.006688963211,61.006688963211,3165828.9879244,203183850.39217,133897020.08323,291706143.26331,101872326.49374,159258244.13661,135170965.26326,349580268.30791,199903564.54156,160779483.88733,11758470311.179,663681140982.16,12296022032936,11592174776394,2824724813744.6,2028979949649.9,351985548081.2,118755973145.21
1,3,64.595317725753,64.595317725753,4848536.4733979,301816281.18326,198788433.44065,432636401.22386,151053756.78662,236060918.01044,200303320.85833,517638927.13465,295886663.93543,231574926.98645,12777687349.181,710892234452.7,13168941873669,12415039527799,3025229516480.5,2172998719486.1,376969588249.79,127185327517.89
1,3,68.183946488294,68.183946488294,7704031.1719936,462934335.2924,304711516.89324,662337787.98282,231186443.38231,361131237.61296,306325059.946,790875232.1974,451846267.91835,345919493.27926,13965650637.461,760171929033.23,14078916653783,13272775080606,3234226345277.1,2323115636883.8,403011384543.13,135971571024.91
1,3,71.772575250836,71.772575250836,12442295.667003,719063954.73033,472951128.16764,1026505172.3863,358172912.85253,559195819.51844,474133680.72854,1222651782.6536,698099240.69035,525739691.85492,15386007323.683,811344017703.45,15022042834559,14161669782832,3450808359011.9,2478678413044,429997706582.92,145076507972.81
1,3,75.361204013378,75.361204013378,19123853.015682,1070397882.5549,703591395.96671,1525098975.0391,531980605.43114,830156720.99262,703613837.69252,1812408644.4909,1034249885.8113,770699791.59761,17030630688.948,864016409239.1,15991069528331,15074888572761,3673310091136.2,2638490779088.5,457721028915.92,154430121371.38
1,3,78.94983277592,78.94983277592,30206190.127077,1631887942.2629,1071893412.2004,2319816602.5323,808892468.50452,1261548517.2218,1068757499.7911,2749167385.7389,1567708376.3723,1158533031.9747,19153457174.112,919224773237.01,17002929617163,16028283656338,3905585489600.8,2805318034641.8,486660819119.57,164194202805.49
1,3,82.538461538462,82.538461538462,48892892.998955,2536694610.8653,1664768969.2244,3595798624.2746,1253213791.8819,1953027761.5142,1653555303.1962,4245431892.0996,2418624299.5564,1775851099.2265,22014485821.577,976976486836.44,18055288495322,17019532811461,4147059116366.4,2978743646882.9,516744543973.97,174344306702.21
1,3,86.127090301003,86.127090301003,75409949.773354,3783270126.53,2481003433.4481,5349132358.1401,1863468301.3961,2901998941.0234,2455602132.6454,6293296830.2661,3581990092.6741,2618750744.9663,25589387202.357,1036708015453.5,19137856135771,18038943155080,4395369743266.8,3157071799618,547678035790.03,184781182021.3
1,3,89.715719063545,89.715719063545,118421132.6199,5733136595.1353,3756569347.4696,8082208573.1972,2814123825.2918,4378754096.3156,3702633067.1889,9468366867.4692,5383081119.8962,3921653875.7784,30602563093.393,1099705776312.5,20267797352557,19102369919902,4654355093367.6,3343050476765.8,579937275101.35,195665490168.88
1,3,93.304347826087,93.304347826087,192098851.63795,8916572971.4371,5836393450.6526,12520427945.979,4356288735.3919,6770170157.5201,5719078470.1867,14577948293.06,8274383051.4845,6008702562.3936,38012633355.618,1166401440722,21444163014462,20208484237279,4923657391149,3536411386123.8,613474756620.6,206981295030.54
1,3,96.892976588629,96.892976588629,297285618.85452,13319970491.411,8710576420.2413,18634306954.371,6478961719.4785,10057154996.759,8487389156.8071,21565872659.115,12220734867.205,8852790020.2148,47707041961.64,1235984712873.5,22652952819343,21344140765444,5200077904209.9,3734858431718.4,647892289764.18,218594237922.49
1,3,100.48160535117,100.48160535117,464214470.82165,20063573838.217,13107418406.144,27950796618.961,9710276202.3179,15052170014.975,12688003597.111,32118626290.845,18165491500.696,13128766385.34,61688646612.718,1310260367370.8,23909097424754,22522519277407,5486758184747.8,3940624874031.3,683575316908.38,230634551204.22
1,3,104.07023411371,104.07023411371,754638926.86501,31212065182.28,20363242753.908,43215907658.703,14994838649.999,23194407783.719,19516257721.327,49121757960.975,27700488092.429,19964060597.594,83170069487.155,1390663969326,25209741418976,23739524776766,5782592131840.3,4152880433386.1,720376776996.16,243052901313.07
1,3,107.65886287625,107.65886287625,1171694691.353,46687655377.827,30421477485.222,64252768810.192,22266067824.234,34366978157.594,28864015672.138,72232717321.014,40613203790.194,29196208189.641,111562497598.11,1475911371658.8,26536808102298,24978411058788,6083523326504,4368719650550.5,757793348779.17,255679401811.82
1,3,111.2474916388,111.2474916388,1819555076.1073,69899426071.964,45484943649.064,95549082864.3,33064011716.586,50906485028.969,42665078272.663,106073980339.52,59441136144.094,42616341327.432,151932395917.13,1568843880342.9,27896780171504,26243099523852,6390338809341.3,4588652239644.1,795908760670.86,268542739925.65
1,3,114.83612040134,114.83612040134,2964084542.6727,108731202901.83,70610177637.728,147039027701.89,50762919055.995,77840597498.741,65016033627.043,160008402134.88,89204532403.464,63709325349.73,213624771743.41,1672976047657.6,29271421176415,27512538878719,6697617576644.8,4808689101859,834023016648.96,281407470957.37
1,3,118.42474916388,118.42474916388,4616932363.049,162799825689.35,105503790859.27,217711828178.72,74977180423.536,114485523187.49,95283811608.626,232116578719.76,128741765686.39,91603788651.716,293769506654.92,1785719487608.9,30640367702663,28768912547384,7001128484180.9,5025828096865.7,871618488261.79,294098643592.33
1,3,122.01337792642,122.01337792642,7131315421.2955,242248373290.73,156639551363.26,320016622253.37,109909395838.09,167038820318.17,138475126517.67,333608872080.33,184003223118.22,130402270633.19,403189513390.2,1911366757817.6,31987379640638,29992507074943,7295737089169.5,5236273326607.5,908027657552.9,306391860481.6
1,3,125.60200668896,125.60200668896,11640735204.651,376647483762.63,242574398204.51,487226320722.93,166558489738.51,251152679427.52,206858451274.17,489960884882.64,267984440912.87,188817789799.44,563132102938.47,2055682736590.6,33237944262493,31105052587592,7561785847105.1,5425716917591.3,940752919520.36,317445805310.04
1,3,129.19063545151,129.19063545151,18188382814.717,564248812155.39,361739572439.33,713532384243.65,242702950491.58,362962343882.08,296945326056.82,691681419951.61,375233240270.73,262905762298.41,761985025932.32,2212311714418.9,34381558993085,32101778125836,7798508061459.7,5593738791343.7,969732416818.69,327238581881.58
