x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12,group13,group14,group15,group16,group17,group18,group19,group20,group21,group22,group23,group24,group25,group26
1,3,380.39464882943,380.39464882943,70007094941.669,1338532760088,15264018880170,16885361287510,14312098077786,13740103529701,5779641731942,5709210796125,7444196870098,5392174370813.7,5139644805871.5,4812752755594.2,4301603201985.7,2693737052999.8,2377361980836.3,3477453050114,2958585418072.4,3847687726956,5217624955872.1,5484368604875.5,3887249545567,1885128260001.9,1156964623466.2,741194227171.27,112269937858.39,35216899613.454
1,3,383.98327759197,383.98327759197,69692812634.133,1332523690679.1,15195494083729,16809557636889,14247846464567,13678419644736,5753694976969.1,5683580204532,7410777292383.1,5367967009904.3,5116571117484.2,4791146581795,4282291744479.5,2681643882132.8,2366689126986.2,3461841463965.1,2945303206877.8,3830413963700.5,5194200956419.6,5459747052356.8,3869798095227.1,1876665146520,1151770534083.7,737866701473.52,111765911915.48,35058796472.708
1,3,387.57190635452,387.57190635452,69382825591.199,1326596746979.5,15127905818881,16734790011637,14184473000492,13617578817588,5728102846700.6,5658299916603.6,7377814473500.2,5344090500647.4,5093812786240.5,4769835707801.3,4263244223620.6,2669715992723.2,2356162142359.2,3446443245600.3,2932202527089.1,3813376285402.1,5171097098644.5,5435462008638.5,3852585158090.5,1868317700451.2,1146647433570.9,734584653869.6,111268774616.28,34902854165.606
1,3,391.16053511706,391.16053511706,69075915628.282,1320728637127.8,15060988471947,16660764576745,14121728624142,13557341937543,5702764761117.3,5633270577733.5,7345178865514.8,5320451005469.2,5071280369236.9,4748736379505.6,4244385780611.1,2657906506897.7,2345739654775,3431197878699.8,2919231892629.3,3796507734543.6,5148222584739.3,5411418032654.8,3835543086027.3,1860053115491.3,1141575187547.7,731335185496.28,110776572146.36,34748459819.633
1,3,394.7491638796,394.7491638796,68775203824.434,1314979036234.4,14995422554267,16588234135122,14060251418542,13498321587516,5677938397478.6,5608746725290.1,7313202358099.4,5297288927502.8,5049203011051.9,4728063167489.2,4225908196916.9,2646335521287.9,2335527655474.9,3416260400344.7,2906523208339.9,3779979856911,5125810037952.5,5387859639157.5,3818845187303.6,1851955437576.9,1136605377669.8,728151341433.23,110294309897.94,34597183530.147
1,3,398.33779264214,398.33779264214,68475612652.412,1309250861519.5,14930100966776,16515973966842,13999003292386,13439521160355,5653204542196.7,5584314253877.1,7281345001725.9,5274213156127.5,5027207917495.9,4707466987933,4207499464469.4,2634807651691.1,2325353708532.2,3401378583076.7,2893861879697.2,3763513564593.4,5103481002480.3,5364389026668.2,3802209506960.2,1843887932693.4,1131654086010.3,724979360844.75,109813844631.02,34446470918.209
1,3,401.92642140468,401.92642140468,68184086776.371,1303676893090.1,14866537847357,16445658982029,13939403873209,13382303539397,5629136478534.8,5560539460606,7250345186960.9,5251758541661.5,5005804890457,4687425218466.4,4189586261124,2623590092222.5,2315453628096.5,3386897364053.1,2881541374237.6,3747490507761.7,5081753006042,5341550182610.3,3786021618335.6,1836037586041.3,1126836071765.5,721892762833.87,109346312414.31,34299815148.262
1,3,405.51505016722,405.51505016722,67892560900.329,1298102924660.7,14802974727939,16375343997216,13879804454032,13325085918439,5605068414872.9,5536764667334.9,7219345372196,5229303927195.5,4984401863418.1,4667383448999.9,4171673057778.6,2612372532753.9,2305553547660.8,3372416145029.6,2869220868778,3731467450930,5060025009603.6,5318711338552.4,3769833729711,1828187239389.3,1122018057520.7,718806164822.98,108878780197.59,34153159378.314
1,3,409.10367892977,409.10367892977,67609333974.627,1292687631825.1,14741221072820,16307030678102,13821901654309,13269497109684,5581685495259,5513666668908.5,7189228024953.2,5207488524345.9,4963608111804.1,4647912203681.9,4154269785018.7,2601474300809.3,2295935290694.3,3358347160609.3,2857251088937,3715900516097.5,5038915529443.7,5296522629884,3754106648471.5,1820560362118.3,1117337193760.7,715807430497.25,108424556842.34,34010678338.876
1,3,412.69230769231,412.69230769231,67326905463.514,1287287604644.2,14679641500283,16238909932631,13764162080737,13214065003568,5558368491090.1,5490633782677.8,7159195576994.9,5185734617933.9,4942872976565.6,4628495846607.1,4136915570995.5,2590606790310.6,2286344147032.7,3344317835918,2845315051248.9,3700377463255.3,5017865554691.2,5274396468593.2,3738423899987.9,1812954984098.1,1112669524795.7,712817149246.34,107971613888.66,33868598936.466
